European Distances
21 231 undirected
1,0,3313
2,0,2963
3,0,3175
4,0,3339
5,0,2762
6,0,3276
7,0,2610
8,0,4485
9,0,2977
10,0,3030
11,0,4532
12,0,2753
13,0,3949
14,0,2865
15,0,2282
16,0,2179
17,0,3000
18,0,817
19,0,3927
20,0,1991
2,1,1318
3,1,1326
4,1,1294
5,1,1498
6,1,2218
7,1,803
8,1,1172
9,1,2018
10,1,1490
11,1,1305
12,1,645
13,1,636
14,1,521
15,1,1014
16,1,1365
17,1,1033
18,1,1460
19,1,2868
20,1,1802
3,2,204
4,2,583
5,2,206
6,2,966
7,2,677
8,2,2256
9,2,597
10,2,172
11,2,2084
12,2,690
13,2,1558
14,2,1011
15,2,925
16,2,747
17,2,285
18,2,1511
19,2,1616
20,2,1175
4,3,460
5,3,409
6,3,1136
7,3,747
8,3,2224
9,3,714
10,3,330
11,3,2052
12,3,739
13,3,1550
14,3,1059
15,3,1077
16,3,977
17,3,280
18,3,1662
19,3,1786
20,3,1381
5,4,785
6,4,1545
7,4,853
8,4,2047
9,4,1115
10,4,731
11,4,1827
12,4,789
13,4,1347
14,4,1101
15,4,1209
16,4,1160
17,4,340
18,4,1794
19,4,2196
20,4,1588
6,5,760
7,5,1662
8,5,2436
9,5,460
10,5,269
11,5,2290
12,5,714
13,5,1764
14,5,1035
15,5,911
16,5,583
17,5,465
18,5,1497
19,5,1403
20,5,937
7,6,1418
8,6,3196
9,6,460
10,6,269
11,6,2971
12,6,1458
13,6,2498
14,6,1778
15,6,1537
16,6,1104
17,6,1176
18,6,2050
19,6,650
20,6,1455
8,7,1975
9,7,1118
10,7,895
11,7,1936
12,7,158
13,7,1439
14,7,425
15,7,328
16,7,591
17,7,513
18,7,995
19,7,2068
20,7,1019
9,8,2897
10,8,2428
11,8,676
12,8,1817
13,8,698
14,8,1693
15,8,2185
16,8,2565
17,8,1971
18,8,2631
19,8,3886
20,8,2974
10,9,550
11,9,2671
12,9,1159
13,9,2198
14,9,1479
15,9,1238
16,9,805
17,9,877
18,9,1751
19,9,949
20,9,1155
11,10,2280
12,10,863
13,10,1730
14,10,1183
15,10,1098
16,10,851
17,10,457
18,10,1683
19,10,1500
20,10,1205
12,11,1178
13,11,668
14,11,1762
15,11,2250
16,11,2507
17,11,1799
18,11,2700
19,11,3231
20,11,2937
13,12,1281
14,12,320
15,12,328
16,12,724
17,12,471
18,12,1048
19,12,2108
20,12,1157
14,13,1157
15,13,1724
16,13,2010
17,13,1273
18,13,2097
19,13,3188
20,13,2409
15,14,618
16,14,1109
17,14,792
18,14,1011
19,14,2428
20,14,1363
16,15,331
17,15,856
18,15,586
19,15,2187
20,15,898
17,16,821
18,16,946
19,16,1754
20,16,428
18,17,1476
19,17,1827
20,17,1249
19,18,2707
20,18,1209
20,19,2105
